age,gender,emotion,ad_category
30-40,男,开心,实用产品_简约风格_常规广告
40-50,男,开心,实用产品_优雅风格_正能量广告
20-30,女,平静,实用产品_优雅风格_正能量广告
20-30,女,难过,时尚产品_运动风格_正能量广告
40-50,男,难过,高端产品_运动风格_治愈广告
30-40,女,难过,时尚产品_优雅风格_常规广告
20-30,女,开心,时尚产品_优雅风格_正能量广告
30-40,男,难过,实用产品_简约风格_常规广告
20-30,男,平静,时尚产品_运动风格_正能量广告
50+,男,难过,高端产品_优雅风格_治愈广告
40-50,女,平静,实用产品_简约风格_常规广告
30-40,女,平静,时尚产品_运动风格_正能量广告
30-40,女,难过,高端产品_优雅风格_治愈广告
40-50,男,难过,高端产品_运动风格_治愈广告
40-50,男,难过,高端产品_运动风格_治愈广告
40-50,男,难过,高端产品_运动风格_治愈广告
50+,女,难过,高端产品_优雅风格_治愈广告
20-30,女,难过,实用产品_优雅风格_正能量广告
50+,男,难过,高端产品_优雅风格_治愈广告
20-30,男,平静,实用产品_简约风格_常规广告
50+,女,平静,高端产品_优雅风格_治愈广告
50+,男,难过,高端产品_优雅风格_治愈广告
20-30,女,开心,时尚产品_优雅风格_正能量广告
40-50,女,难过,高端产品_优雅风格_治愈广告
40-50,男,难过,高端产品_运动风格_治愈广告
50+,女,难过,高端产品_优雅风格_治愈广告
50+,男,开心,高端产品_简约风格_正能量广告
40-50,女,难过,高端产品_优雅风格_治愈广告
40-50,女,难过,高端产品_优雅风格_治愈广告
50+,女,平静,高端产品_优雅风格_治愈广告
20-30,女,平静,实用产品_简约风格_常规广告
30-40,男,平静,时尚产品_运动风格_正能量广告
20-30,女,开心,时尚产品_优雅风格_正能量广告
40-50,女,开心,实用产品_简约风格_常规广告
20-30,男,开心,时尚产品_运动风格_正能量广告
20-30,男,开心,时尚产品_运动风格_正能量广告
40-50,女,难过,高端产品_优雅风格_治愈广告
20-30,女,平静,时尚产品_优雅风格_常规广告
50+,女,难过,高端产品_优雅风格_治愈广告
40-50,男,平静,高端产品_优雅风格_治愈广告
20-30,男,平静,实用产品_简约风格_常规广告
20-30,男,开心,时尚产品_运动风格_正能量广告
30-40,男,开心,实用产品_简约风格_常规广告
40-50,女,开心,高端产品_运动风格_治愈广告
40-50,男,开心,高端产品_优雅风格_治愈广告
40-50,男,难过,高端产品_运动风格_治愈广告
30-40,女,平静,实用产品_优雅风格_正能量广告
40-50,女,开心,实用产品_简约风格_常规广告
50+,男,开心,高端产品_简约风格_正能量广告
40-50,男,难过,高端产品_运动风格_治愈广告
30-40,男,难过,高端产品_优雅风格_治愈广告
50+,女,开心,高端产品_简约风格_正能量广告
40-50,男,难过,高端产品_运动风格_治愈广告
20-30,女,难过,实用产品_简约风格_常规广告
30-40,女,难过,时尚产品_运动风格_正能量广告
40-50,女,平静,高端产品_运动风格_治愈广告
20-30,男,平静,实用产品_简约风格_常规广告
50+,女,平静,高端产品_优雅风格_治愈广告
40-50,男,开心,时尚产品_优雅风格_常规广告
40-50,男,难过,高端产品_运动风格_治愈广告
50+,男,难过,高端产品_优雅风格_治愈广告
20-30,男,平静,实用产品_简约风格_常规广告
40-50,男,难过,高端产品_运动风格_治愈广告
40-50,男,开心,高端产品_运动风格_治愈广告
50+,女,开心,高端产品_简约风格_正能量广告
20-30,女,开心,时尚产品_优雅风格_正能量广告
50+,女,平静,高端产品_优雅风格_治愈广告
40-50,女,开心,实用产品_优雅风格_正能量广告
50+,女,开心,高端产品_简约风格_正能量广告
20-30,女,平静,实用产品_简约风格_常规广告
20-30,男,难过,高端产品_优雅风格_治愈广告
30-40,男,难过,实用产品_优雅风格_正能量广告
40-50,女,平静,时尚产品_运动风格_正能量广告
30-40,男,平静,高端产品_运动风格_治愈广告
50+,男,难过,高端产品_优雅风格_治愈广告
40-50,男,开心,时尚产品_运动风格_正能量广告
20-30,女,开心,时尚产品_优雅风格_正能量广告
30-40,男,平静,高端产品_运动风格_治愈广告
50+,女,平静,高端产品_优雅风格_治愈广告
50+,女,难过,高端产品_优雅风格_治愈广告
50+,男,难过,高端产品_优雅风格_治愈广告
40-50,女,难过,高端产品_优雅风格_治愈广告
40-50,男,难过,高端产品_运动风格_治愈广告
30-40,男,平静,高端产品_优雅风格_治愈广告
40-50,男,开心,实用产品_简约风格_常规广告
30-40,女,开心,实用产品_优雅风格_正能量广告
40-50,女,开心,实用产品_简约风格_常规广告
50+,男,开心,高端产品_简约风格_正能量广告
30-40,男,难过,实用产品_优雅风格_正能量广告
40-50,女,平静,时尚产品_运动风格_正能量广告
50+,女,开心,高端产品_简约风格_正能量广告
30-40,男,难过,实用产品_优雅风格_正能量广告
40-50,男,难过,高端产品_运动风格_治愈广告
20-30,女,平静,实用产品_优雅风格_正能量广告
20-30,男,难过,时尚产品_运动风格_正能量广告
30-40,男,开心,实用产品_简约风格_常规广告
30-40,男,难过,高端产品_优雅风格_治愈广告
40-50,男,开心,实用产品_优雅风格_正能量广告
30-40,女,开心,实用产品_优雅风格_正能量广告
30-40,女,难过,高端产品_优雅风格_治愈广告
